subject,strEnc,cerEnc,difficulty,targetParam,accuracy
A3,width,blur,1,LM,1
A3,width,blur,1,LH,1
A3,sat,trans,0,LM,1
A3,sat,trans,0,LH,0
A3,sat,trans,0,MH,1
A3,sat,trans,1,LH,1
A3,sat,trans,1,LM,0
A3,sat,trans,1,MH,0
A3,width,value,0,MH,1
A3,width,value,0,LH,1
A3,width,value,0,LM,0
A3,width,value,1,LM,0
A3,width,value,1,LH,1
A3,width,value,1,MH,1
A3,hue,blur,0,LM,1
A3,hue,blur,0,LH,1
A3,hue,blur,0,MH,1
A3,hue,blur,1,MH,1
A3,hue,blur,1,LH,1
A3,hue,blur,1,LM,1
A3,width,grain,0,MH,1
A3,width,grain,0,LM,1
A3,width,grain,0,LH,1
A3,width,grain,1,MH,1
A3,width,grain,1,LM,0
A3,width,grain,1,LH,1
A3,hue,trans,0,LM,1
A3,hue,trans,0,LH,1
A3,hue,trans,0,MH,1
A3,hue,trans,1,LM,0
A3,hue,trans,1,LH,1
A3,hue,trans,1,MH,1
A3,sat,value,0,LM,1
A3,sat,value,0,MH,1
A3,sat,value,0,LH,1
A3,sat,value,1,MH,1
A3,sat,value,1,LH,1
A3,sat,value,1,LM,1
A3,hue,grain,0,LH,1
A3,hue,grain,0,MH,1
A3,hue,grain,0,LM,1
A3,hue,grain,1,MH,1
A3,hue,grain,1,LM,1
A3,hue,grain,1,LH,1
A3,sat,grain,0,MH,1
A3,sat,grain,0,LH,1
A3,sat,grain,0,LM,1
A3,sat,grain,1,MH,1
A3,sat,grain,1,LM,1
A3,sat,grain,1,LH,1
A3,hue,value,0,LH,1
A3,hue,value,0,LM,1
A3,hue,value,0,MH,1
A3,hue,value,1,LH,1
A3,hue,value,1,LM,1
A3,hue,value,1,MH,0
A4,sat,blur,0,MH,1
A4,sat,blur,0,LH,1
A4,sat,blur,0,LM,1
A4,sat,blur,1,LH,1
A4,sat,blur,1,LM,1
A4,sat,blur,1,MH,0
A4,sat,trans,0,LH,1
A4,sat,trans,0,MH,1
A4,sat,trans,0,LM,1
A4,sat,trans,1,MH,0
A4,sat,trans,1,LM,1
A4,sat,trans,1,LH,1
A4,width,trans,0,LH,1
A4,width,trans,0,LM,1
A4,width,trans,0,MH,1
A4,width,trans,1,LH,1
A4,width,trans,1,MH,1
A4,width,trans,1,LM,0
A4,hue,blur,0,LM,1
A4,hue,blur,0,LH,0
A4,hue,blur,0,MH,1
A4,hue,blur,1,LM,1
A4,hue,blur,1,LH,1
A4,hue,blur,1,MH,1
A4,width,blur,0,MH,1
A4,width,blur,0,LH,1
A4,width,blur,0,LM,0
A4,width,blur,1,LH,1
A4,width,blur,1,LM,1
A4,width,blur,1,MH,1
A4,hue,trans,0,LH,1
A4,hue,trans,0,LM,1
A4,hue,trans,0,MH,0
A4,hue,trans,1,LH,1
A4,hue,trans,1,LM,0
A4,hue,trans,1,MH,1
A4,width,value,0,LH,1
A4,width,value,0,LM,1
A4,width,value,0,MH,0
A4,width,value,1,LM,0
A4,width,value,1,LH,1
A4,width,value,1,MH,1
A4,hue,grain,0,MH,1
A4,hue,grain,0,LH,1
A4,hue,grain,0,LM,0
A4,hue,grain,1,LH,1
A4,hue,grain,1,LM,1
A4,hue,grain,1,MH,1
A4,width,grain,0,MH,1
A4,width,grain,0,LH,1
A4,width,grain,0,LM,1
A4,width,grain,1,LM,1
A4,width,grain,1,LH,1
A4,width,grain,1,MH,1
A4,hue,value,0,MH,1
A4,hue,value,0,LH,1
A4,hue,value,0,LM,1
A4,hue,value,1,LH,1
A4,hue,value,1,LM,1
A4,hue,value,1,MH,1
A4,sat,value,0,LM,0
A4,sat,value,0,LH,1
A4,sat,value,0,MH,0
A4,sat,value,1,LM,1
A4,sat,value,1,MH,1
A4,sat,value,1,LH,1
A4,sat,grain,0,LH,1
A4,sat,grain,0,LM,0
A4,sat,grain,0,MH,1
A4,sat,grain,1,LH,1
A4,sat,grain,1,LM,1
A4,sat,grain,1,MH,1
A5,width,trans,0,LM,1
A5,width,trans,0,MH,1
A5,width,trans,0,LH,0
A5,width,trans,1,MH,1
A5,width,trans,1,LH,1
A5,width,trans,1,LM,0
A5,sat,blur,0,MH,1
A5,sat,blur,0,LM,1
A5,sat,blur,0,LH,1
A5,sat,blur,1,MH,1
A5,sat,blur,1,LH,0
A5,sat,blur,1,LM,1
A5,width,blur,0,LH,1
A5,width,blur,0,MH,1
A5,width,blur,0,LM,1
A5,width,blur,1,MH,1
A5,width,blur,1,LM,1
A5,width,blur,1,LH,1
A5,sat,trans,0,LH,1
A5,sat,trans,0,MH,0
A5,sat,trans,0,LM,1
A5,sat,trans,1,LM,0
A5,sat,trans,1,MH,0
A5,sat,trans,1,LH,1
A5,width,value,0,MH,1
A5,width,value,0,LM,1
A5,width,value,0,LH,1
