subject,strEnc,cerEnc,task,targetParam,accuracy
A5,sat,grain,cp,LM,1
A5,sat,grain,vs,1,1
A5,sat,grain,vs,5,1
A5,sat,grain,vs,3,1
A5,hue,value,vs,1,0
A5,hue,value,vs,3,0
A5,hue,value,vs,5,1
A5,hue,value,cp,LM,1
A5,hue,value,cp,LH,1
A5,hue,value,cp,MH,1
A6,sat,trans,vs,3,1
A6,sat,trans,vs,5,1
A6,sat,trans,vs,1,1
A6,sat,trans,cp,LH,1
A6,sat,trans,cp,MH,1
A6,sat,trans,cp,LM,1
A6,hue,blur,cp,LM,0
A6,hue,blur,cp,MH,0
A6,hue,blur,cp,LH,1
A6,hue,blur,vs,1,1
A6,hue,blur,vs,5,1
A6,hue,blur,vs,3,0
A6,sat,blur,vs,3,0
A6,sat,blur,vs,1,1
A6,sat,blur,vs,5,1
A6,sat,blur,cp,LM,1
A6,sat,blur,cp,LH,1
A6,sat,blur,cp,MH,1
A6,hue,trans,cp,MH,1
A6,hue,trans,cp,LM,1
A6,hue,trans,cp,LH,1
A6,hue,trans,vs,5,0
A6,hue,trans,vs,3,1
A6,hue,trans,vs,1,1
A6,width,trans,vs,5,1
A6,width,trans,vs,3,0
A6,width,trans,vs,1,0
A6,width,trans,cp,LM,1
A6,width,trans,cp,LH,1
A6,width,trans,cp,MH,1
A6,hue,grain,cp,LM,1
A6,hue,grain,cp,LH,1
A6,hue,grain,cp,MH,1
A6,hue,grain,vs,5,1
A6,hue,grain,vs,1,1
A6,hue,grain,vs,3,1
A6,width,blur,vs,1,1
A6,width,blur,vs,5,1
A6,width,blur,vs,3,0
A6,width,blur,cp,LM,1
A6,width,blur,cp,MH,1
A6,width,blur,cp,LH,1
A6,hue,value,cp,LM,0
A6,hue,value,cp,LH,1
A6,hue,value,cp,MH,0
A6,hue,value,vs,1,1
A6,hue,value,vs,3,0
A6,hue,value,vs,5,0
A6,width,value,vs,5,0
A6,width,value,vs,1,1
A6,width,value,vs,3,0
A6,width,value,cp,LH,1
A6,width,value,cp,LM,1
A6,width,value,cp,MH,0
A6,sat,grain,cp,MH,1
A6,sat,grain,cp,LM,1
A6,sat,grain,cp,LH,1
A6,sat,grain,vs,1,0
A6,sat,grain,vs,3,1
A6,sat,grain,vs,5,1
A6,width,grain,vs,5,1
A6,width,grain,vs,3,0
A6,width,grain,vs,1,1
A6,width,grain,cp,LM,1
A6,width,grain,cp,LH,1
A6,width,grain,cp,MH,0
A6,sat,value,cp,MH,1
A6,sat,value,cp,LM,1
A6,sat,value,cp,LH,1
A6,sat,value,vs,5,1
A6,sat,value,vs,1,1
A6,sat,value,vs,3,1
A7,sat,blur,cp,LH,0
A7,sat,blur,cp,LM,0
A7,sat,blur,cp,MH,0
A7,sat,blur,vs,3,1
A7,sat,blur,vs,5,1
A7,sat,blur,vs,1,0
A7,sat,trans,vs,3,1
A7,sat,trans,vs,5,1
A7,sat,trans,vs,1,1
A7,sat,trans,cp,LH,0
A7,sat,trans,cp,LM,0
A7,sat,trans,cp,MH,1
A7,width,trans,cp,LH,0
A7,width,trans,cp,LM,0
A7,width,trans,cp,MH,0
A7,width,trans,vs,5,0
A7,width,trans,vs,3,0
A7,width,trans,vs,1,1
A7,hue,blur,vs,5,1
A7,hue,blur,vs,1,1
A7,hue,blur,vs,3,1
A7,hue,blur,cp,LM,0
A7,hue,blur,cp,MH,0
A7,hue,blur,cp,LH,0
A7,width,blur,cp,MH,0
A7,width,blur,cp,LM,0
A7,width,blur,cp,LH,0
A7,width,blur,vs,5,1
A7,width,blur,vs,3,1
A7,width,blur,vs,1,0
A7,hue,trans,vs,3,0
A7,hue,trans,vs,1,1
A7,hue,trans,vs,5,1
A7,hue,trans,cp,LM,0
A7,hue,trans,cp,LH,0
A7,hue,trans,cp,MH,0
A7,width,value,cp,MH,1
A7,width,value,cp,LH,0
A7,width,value,cp,LM,0
A7,width,value,vs,1,1
A7,width,value,vs,5,1
A7,width,value,vs,3,0
A7,hue,grain,vs,3,1
A7,hue,grain,vs,5,1
A7,hue,grain,vs,1,1
A7,hue,grain,cp,LH,0
A7,hue,grain,cp,MH,0
A7,hue,grain,cp,LM,0
A7,width,grain,cp,MH,0
A7,width,grain,cp,LM,0
A7,width,grain,cp,LH,0
A7,width,grain,vs,1,1
A7,width,grain,vs,3,1
A7,width,grain,vs,5,1
A7,hue,value,vs,3,0
A7,hue,value,vs,5,1
A7,hue,value,vs,1,0
A7,hue,value,cp,LH,0
A7,hue,value,cp,MH,0
A7,hue,value,cp,LM,0
A7,sat,value,cp,LM,0
A7,sat,value,cp,LH,0
A7,sat,value,cp,MH,1
A7,sat,value,vs,3,0
A7,sat,value,vs,5,0
A7,sat,value,vs,1,0
A7,sat,grain,vs,1,1
A7,sat,grain,vs,5,0
A7,sat,grain,vs,3,1
A7,sat,grain,cp,LH,0
A7,sat,grain,cp,MH,0
A7,sat,grain,cp,LM,0
P2,width,value,vs,5,1
P2,width,value,vs,1,1
P2,width,value,vs,3,1
P2,width,value,cp,MH,1
P2,width,value,cp,LM,1
P2,width,value,cp,LH,1
P2,width,blur,cp,MH,1
P2,width,blur,cp,LH,1
